Current Time,Force Exerted,Target,Target Range,Max Forces,Average Max Force,Number of Trials
2022-11-26 15:03:14.025712,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:14.424460,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:14.718877,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:15.069027,0.22,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:15.418833,0.441,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:15.764168,0.661,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:16.113566,0.882,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:16.460413,0.882,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:16.808707,0.882,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:17.152812,0.22,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:17.502738,0.22,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:17.852802,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:18.193956,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:18.546167,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:18.897118,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:19.239690,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:03:19.239690,0.441,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:24.978016,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:25.330264,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:25.679651,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:26.024494,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:26.376820,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:26.717070,-0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:27.068849,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:27.421103,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:27.766294,0.441,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:28.114255,0.661,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:28.461188,0.882,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:28.807702,1.102,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:29.159745,1.102,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:29.507541,0.661,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:29.855581,0.441,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:30.200616,0.441,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:30.548632,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:30.899104,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:31.239624,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:31.594041,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:31.933342,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:32.285170,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:32.637058,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:32.983965,0.0,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:33.330752,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:33.682353,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:34.027720,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:34.377625,0.22,0.231,0.11574255,1.543,1.543,1
2022-11-26 15:03:34.725419,0.0,0.231,0.11574255,1.543,1.543,1
