Current Time,Force Exerted,Target,Target Range,Max Forces,Average Max Force,Number of Trials
2022-11-26 15:17:33.398489,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:33.742598,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:34.094732,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:34.442414,0.441,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:34.790466,0.661,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:35.129556,0.882,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:35.486265,0.882,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:35.832836,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:36.176443,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:36.526274,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:36.878148,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:37.225835,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:17:37.225835,0.0,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:42.958680,0.0,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:43.312886,-0.0,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:43.658138,0.22,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:44.006392,0.661,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:44.355703,0.661,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:44.702834,0.661,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:45.051904,0.22,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:45.939342,0.22,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:46.243930,0.22,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:46.311030,0.22,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:46.441960,0.22,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:46.788425,0.441,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:47.136291,0.441,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:47.486930,0.882,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:47.834327,0.882,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:48.180221,1.323,0.331,0.16534649999999998,2.205,2.205,1
2022-11-26 15:17:48.526658,0.882,0.331,0.16534649999999998,2.205,2.205,1
